"codigo";"descricao";"descricao_breve"
"B57";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B58";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B59";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B60";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B61";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B62";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B63";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B64";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B65";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B66";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B67";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B68";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B69";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B70";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B71";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B72";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B73";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B74";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B75";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B76";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B77";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B78";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B79";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B80";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B81";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B82";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B83";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B84";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B85";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B86";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B87";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B88";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B89";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B90";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B91";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B92";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B93";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B94";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B95";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B96";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B97";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B98";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B99";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"C00";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C01";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C02";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C03";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C04";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C05";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C06";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C07";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C08";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C09";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C10";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C11";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C12";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C13";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C14";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C15";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C16";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C17";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C18";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C19";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C20";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C21";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C22";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C23";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C24";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
